id,name,description,price,Qty,image
153,Himalaya Anti Hair Fall Conditioner Conditions,Himalaya Anti Hair Fall Conditioner Conditions,90,1,Himalaya_Anti_Hair_Fall_Conditioner_Conditions.png
154,Himalaya Clear Complexion Whitening Day Cream,Himalaya Clear Complexion Whitening Day Cream,235,1,Himalaya_Clear_Complexion_Whitening_Day_Cream.png
155,Himalaya Clear Complexion Whitening Face Wash,Himalaya Clear Complexion Whitening Face Wash,140,1,Himalaya_Clear_Complexion_Whitening_Face_Wash.png
156,Himalaya Cucumber & Coconut Soap Buy 3 Get 1,Himalaya Cucumber & Coconut Soap Buy 3 Get 1,87,1,Himalaya_Cucumber_Coconut_Soap_Buy_3_Get_1.png
157,Himalaya Damaged Repair Shampoo,Himalaya Damaged Repair Shampoo,68,1,Himalaya_Damaged_Repair_Shampoo.png
158,Himalaya Fresh Start Oil Clear Blueberry Face Wash,Himalaya Fresh Start Oil Clear Blueberry Face Wash,75,1,Himalaya_Fresh_Start_Oil_Clear_Blueberry_Face_Wash.png
159,Himalaya Fresh Start Oil Clear Lemon Face Wash,Himalaya Fresh Start Oil Clear Lemon Face Wash,75,1,Himalaya_Fresh_Start_Oil_Clear_Lemon_Face_Wash.png
160,Himalaya Fresh Start Oil Clear Peach Face Wash,Himalaya Fresh Start Oil Clear Peach Face Wash,75,1,Himalaya_Fresh_Start_Oil_Clear_Peach_Face_Wash.png
161,Himalaya Fresh Start Oil Clear Strawberry Face Wash,Himalaya Fresh Start Oil Clear Strawberry Face Wash,75,1,Himalaya_Fresh_Start_Oil_Clear_Strawberry_Face_Wash.png
162,Himalaya Gentle Exfoliating Walnut Face Scrub,Himalaya Gentle Exfoliating Walnut Face Scrub,70,1,Himalaya_Gentle_Exfoliating_Walnut_Face_Scrub.png
163,Himalaya Herbals Active Fresh Gel Toothpaste,Himalaya Herbals Active Fresh Gel Toothpaste,50,1,Himalaya_Herbals_Active_Fresh_Gel_Toothpaste.png
164,Himalaya Moisturizing Aloevera Face Wash,Himalaya Moisturizing Aloevera Face Wash,120,1,Himalaya_Moisturizing_Aloevera_Face_Wash.png
165,Himalaya Natural Glow Fairness Cream,Himalaya Natural Glow Fairness Cream,80,1,Himalaya_Natural_Glow_Fairness_Cream.png
166,Himalaya Oil Clear Lemon Face Wash,Himalaya Oil Clear Lemon Face Wash,63,1,Himalaya_Oil_Clear_Lemon_Face_Wash.png
167,Himalaya Oil Free Radiance Gental Cream,Himalaya Oil Free Radiance Gental Cream,235,1,Himalaya_Oil_Free_Radiance_Gental_Cream.png
168,Himalaya Protective Sunscreen Lotion,Himalaya Protective Sunscreen Lotion,190,1,Himalaya_Protective_Sunscreen_Lotion.png
